City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
410,Bud,US,39.447,-86.1758,19.45,87,81,5.53,broken clouds,2022-02-05 01:58:40
411,Da Nang,VN,16.0678,108.2208,67.98,83,75,1.14,broken clouds,2022-02-05 01:58:41
412,High Prairie,CA,55.4334,-116.4858,7.07,98,100,3.69,overcast clouds,2022-02-05 01:55:13
413,Chardara,KZ,41.2547,67.9692,39.69,46,5,8.75,clear sky,2022-02-05 01:58:41
414,Oyama,JP,36.3,139.8,48.6,23,19,5.3,few clouds,2022-02-05 01:58:42
415,Umm Bab,QA,25.2142,50.8072,67.06,49,5,9.17,clear sky,2022-02-05 01:58:42
416,Havoysund,NO,70.9963,24.6622,18.48,77,100,23.31,overcast clouds,2022-02-05 01:58:43
417,Payson,US,40.0444,-111.7321,30.78,56,9,0.54,clear sky,2022-02-05 01:58:43
418,Oum Hadjer,TD,13.2954,19.6966,63.57,19,2,12.8,clear sky,2022-02-05 01:58:43
419,San Juan,AR,-31.5375,-68.5364,79.68,28,0,6.91,clear sky,2022-02-05 01:58:44
420,Bamiantong,CN,44.9333,130.5333,2.59,77,13,11.25,few clouds,2022-02-05 02:01:52
421,Soligalich,RU,59.0778,42.2864,-5.1,100,85,2.53,overcast clouds,2022-02-05 02:01:52
422,Mangit,UZ,40.5971,70.9607,33.08,40,97,5.75,overcast clouds,2022-02-05 02:01:53
423,Klaksvik,FO,62.2266,-6.589,36.52,54,96,23.87,overcast clouds,2022-02-05 02:01:53
424,Privas,FR,44.5833,4.5,48.54,84,53,6.6,broken clouds,2022-02-05 02:01:54
425,Hambantota,LK,6.1241,81.1185,71.94,100,20,3.44,few clouds,2022-02-05 02:01:54
426,Bubaque,GW,11.2833,-15.8333,77.79,66,0,8.93,clear sky,2022-02-05 02:01:54
427,Nanchang,CN,28.6833,115.8833,45.18,66,5,6.11,clear sky,2022-02-05 02:01:55
428,Bardiyah,LY,31.7561,25.0865,50.47,76,0,11.97,clear sky,2022-02-05 02:01:55
429,Clyde River,CA,70.4692,-68.5914,-10.97,77,0,14.97,clear sky,2022-02-05 01:57:45
430,Meadow Lake,US,34.8014,-106.5436,28.47,77,0,3.27,clear sky,2022-02-05 02:01:56
431,Deputatskiy,RU,69.3,139.9,-27.35,99,69,2.53,broken clouds,2022-02-05 02:01:56
432,Catalao,BR,-18.1658,-47.9464,68.32,88,61,1.45,broken clouds,2022-02-05 02:01:56
433,Angoche,MZ,-16.2325,39.9086,73.62,93,100,6.13,overcast clouds,2022-02-05 02:01:57
434,Rio Grande,BR,-32.035,-52.0986,75.31,93,0,8.57,clear sky,2022-02-05 02:01:57
435,Sterling,US,39.0062,-77.4286,37.4,80,100,1.99,overcast clouds,2022-02-05 02:01:58
436,Verkhnevilyuysk,RU,63.4453,120.3167,-17.12,95,87,2.33,overcast clouds,2022-02-05 02:01:58
437,Kadiri,IN,14.1167,78.1667,67.69,37,44,2.28,scattered clouds,2022-02-05 02:01:58
438,Makubetsu,JP,45.3714,141.8211,24.8,68,100,18.34,overcast clouds,2022-02-05 02:01:59
439,Bijie,CN,27.3125,105.2942,35.55,90,100,3.0,overcast clouds,2022-02-05 02:01:59
440,Dajal,PK,29.5577,70.3762,50.97,57,0,7.92,clear sky,2022-02-05 01:57:02
441,Aden,YE,12.7794,45.0367,76.24,53,95,3.09,overcast clouds,2022-02-05 02:02:00
442,Kondinskoye,RU,59.6481,67.41,20.12,96,100,5.37,light snow,2022-02-05 01:59:21
443,Aasiaat,GL,68.7098,-52.8699,5.56,68,100,19.95,overcast clouds,2022-02-05 02:00:48
444,Cavalcante,BR,-13.7975,-47.4583,69.51,86,89,1.68,moderate rain,2022-02-05 02:02:01
445,Tomatlan,MX,19.9333,-105.25,67.93,75,4,2.06,clear sky,2022-02-05 02:02:01
446,Kiama,AU,-34.6833,150.8667,75.58,57,53,1.99,broken clouds,2022-02-05 02:02:02
447,Port Moresby,PG,-9.4431,147.1797,87.22,63,79,13.67,broken clouds,2022-02-05 02:02:02
448,Waingapu,ID,-9.6567,120.2641,85.86,67,35,13.89,scattered clouds,2022-02-05 01:57:32
449,Zhanaozen,KZ,43.3,52.8,39.15,88,100,10.92,overcast clouds,2022-02-05 02:02:02
450,Urumqi,CN,43.801,87.6005,-3.05,85,75,0.0,fog,2022-02-05 02:02:03
451,Khvoynaya,RU,58.9,34.5333,0.81,100,100,4.94,overcast clouds,2022-02-05 02:02:03
452,Rocha,UY,-34.4833,-54.3333,66.07,96,21,3.78,few clouds,2022-02-05 02:02:04
453,Brazzaville,CG,-4.2658,15.2832,71.62,94,89,1.23,light rain,2022-02-05 02:00:11
454,Muros,ES,42.7762,-9.0603,52.23,82,99,14.05,overcast clouds,2022-02-05 02:02:04
455,Saint-Raymond,CA,45.467,-73.6095,11.98,80,100,8.84,overcast clouds,2022-02-05 02:02:04
456,Talcahuano,CL,-36.7167,-73.1167,58.3,83,15,13.82,few clouds,2022-02-05 02:00:15
457,Pjanici,BA,44.9836,15.8228,39.15,87,81,4.81,broken clouds,2022-02-05 02:02:05
458,Port Lincoln,AU,-34.7333,135.8667,71.98,63,6,11.23,clear sky,2022-02-05 02:01:42
459,Okahandja,NA,-21.9833,16.9167,68.83,64,79,7.7,broken clouds,2022-02-05 02:02:06
460,Ust-Nera,RU,64.5667,143.2,-13.61,82,74,0.98,broken clouds,2022-02-05 02:02:06
461,Cape Coast,GH,5.1053,-1.2466,79.27,83,34,4.18,light rain,2022-02-05 02:02:07
462,Ilulissat,GL,69.2167,-51.1,10.42,67,75,13.8,light snow,2022-02-05 02:02:07
463,Lorengau,PG,-2.0226,147.2712,85.05,63,96,8.52,overcast clouds,2022-02-05 02:02:07
464,Novo Selo,MK,41.4139,22.8811,33.64,70,1,2.28,clear sky,2022-02-05 02:03:08
465,Grindavik,IS,63.8424,-22.4338,27.07,63,100,21.85,snow,2022-02-05 02:03:08
466,Shchelkun,RU,56.3034,60.9483,17.17,89,100,8.9,overcast clouds,2022-02-05 02:03:09
467,Bertoua,CM,4.5833,13.6833,65.08,29,11,3.04,few clouds,2022-02-05 02:03:09
468,Longyan,CN,25.1072,117.0225,50.65,79,92,2.44,overcast clouds,2022-02-05 02:03:10
469,Haapiti,PF,-17.5667,-149.8667,85.73,74,69,14.23,light rain,2022-02-05 02:03:10
470,Inhambane,MZ,-23.865,35.3833,78.15,72,98,9.6,overcast clouds,2022-02-05 02:03:10
471,Le Vauclin,MQ,14.5452,-60.8388,73.85,88,0,4.61,clear sky,2022-02-05 02:03:11
472,Port Hedland,AU,-20.3167,118.5667,93.25,55,75,19.57,broken clouds,2022-02-05 02:03:11
473,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,76,0,4.61,clear sky,2022-02-05 01:58:53
474,Vanimo,PG,-2.6741,141.3028,85.6,69,60,7.49,broken clouds,2022-02-05 02:03:12
475,Saint-Lo,FR,49.1162,-1.0903,43.99,92,72,4.61,broken clouds,2022-02-05 02:03:12
476,Shingu,JP,33.7333,135.9833,39.9,49,9,16.93,clear sky,2022-02-05 02:03:13
477,Madras,IN,13.0878,80.2785,78.78,89,75,3.44,mist,2022-02-05 02:02:47
478,Halden,NO,59.1226,11.3871,34.23,77,73,13.02,broken clouds,2022-02-05 02:03:13
479,Griffith,US,41.5284,-87.4237,19.89,82,100,3.0,overcast clouds,2022-02-05 02:03:14
480,Talara,PE,-4.5772,-81.2719,71.73,84,31,13.27,scattered clouds,2022-02-05 02:03:14
481,Belfast,GB,54.5833,-5.9333,38.37,87,40,12.66,scattered clouds,2022-02-05 02:00:13
482,Mongo,TD,12.1844,18.693,63.37,17,10,8.86,clear sky,2022-02-05 02:03:15
483,Hearst,CA,49.6835,-83.6665,-13.85,97,59,2.95,broken clouds,2022-02-05 02:03:15
484,Bargi,IN,22.9833,79.8667,52.92,38,0,3.8,clear sky,2022-02-05 02:03:16
485,Ottawa,CA,45.4112,-75.6981,9.99,74,100,1.01,overcast clouds,2022-02-05 02:01:45
486,High Level,CA,58.5169,-117.136,-2.09,84,100,5.75,light snow,2022-02-05 02:03:16
487,Graneros,CL,-34.0667,-70.7333,54.68,53,1,1.57,clear sky,2022-02-05 02:03:17
488,Mackay,AU,-21.15,149.2,84.69,69,92,20.8,overcast clouds,2022-02-05 02:01:42
489,Anloga,GH,5.7947,0.8973,79.93,82,1,8.23,clear sky,2022-02-05 02:03:17
490,Lubao,PH,14.9167,120.55,84.15,59,83,17.47,broken clouds,2022-02-05 02:03:17
491,Saint Anthony,US,45.0205,-93.218,4.6,72,21,1.99,few clouds,2022-02-05 02:00:20
492,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.31,98,100,0.87,light rain,2022-02-05 02:03:18
493,Vanavara,RU,60.34,102.2797,7.14,94,100,5.97,overcast clouds,2022-02-05 02:01:15
494,Oistins,BB,13.0667,-59.5333,77.09,69,40,12.66,scattered clouds,2022-02-05 02:03:19
495,Hofn,IS,64.2539,-15.2082,25.81,64,100,13.98,overcast clouds,2022-02-05 02:03:19
496,Yar-Sale,RU,66.8333,70.8333,1.67,99,94,5.61,overcast clouds,2022-02-05 02:03:19
497,Datong,CN,40.0936,113.2914,13.91,47,5,3.33,clear sky,2022-02-05 02:03:20
498,Kanelovskaya,RU,46.5908,39.19,29.52,92,97,9.22,overcast clouds,2022-02-05 02:03:20
499,Tingi,TZ,-11.3,35.0333,61.83,94,99,2.28,overcast clouds,2022-02-05 02:03:21
500,Japura,ID,-0.3167,102.35,78.6,86,100,1.21,moderate rain,2022-02-05 02:03:21
501,Coahuayana,MX,18.7333,-103.6833,76.48,77,5,1.9,clear sky,2022-02-05 02:03:21
502,Tuy Hoa,VN,13.0833,109.3,74.98,88,70,15.9,broken clouds,2022-02-05 02:03:22
503,Nouadhibou,MR,20.931,-17.0347,66.09,69,1,11.74,clear sky,2022-02-05 02:03:22
504,Paka,MY,4.6374,103.4368,78.55,86,80,9.84,broken clouds,2022-02-05 02:03:22
505,Komsomolskiy,UZ,40.4272,71.7189,31.42,68,100,4.61,overcast clouds,2022-02-05 02:03:23
506,Kloulklubed,PW,7.0419,134.2556,82.9,78,8,18.81,clear sky,2022-02-05 02:03:23
507,Takoradi,GH,4.8845,-1.7554,79.3,81,48,5.08,light rain,2022-02-05 02:03:24
508,Shieli,KZ,44.1667,66.75,30.47,69,100,7.81,overcast clouds,2022-02-05 02:03:24
509,Berlevag,NO,70.8578,29.0864,21.09,80,100,28.43,light snow,2022-02-05 02:03:25
510,Yei,SS,4.095,30.6779,73.72,30,97,3.44,overcast clouds,2022-02-05 02:00:22
511,Bandarbeyla,SO,9.4942,50.8122,72.12,75,0,3.4,clear sky,2022-02-05 02:04:25
512,Lesosibirsk,RU,58.2358,92.4828,22.28,95,100,8.99,light snow,2022-02-05 02:04:26
513,Te Anau,NZ,-45.4167,167.7167,63.09,40,5,4.81,clear sky,2022-02-05 02:04:26
